run,zone,samples,alpha_mean,alpha_std,alpha_min,alpha_max,K_mean,K_std,B_mean,B_std,position_rmse_mm,x_rmse_mm,y_rmse_mm,z_rmse_mm,force_rmse_N,force_mean_error_N,force_std_N,force_peak_abs_N,force_jitter_rms_N,orientation_rmse_deg,front_rmse_deg,qd_rms_rad_s
baseline_fixed_high_alpha,all_scan,4992,0.459183,0.004876,0.406618,0.46,393.425238,93.076637,14.5684,6.93771,2.644198,2.222928,1.413303,0.230108,0.087368,-0.083505,0.02569,0.169417,0.002435,1.173811,1.014614,0.007489
baseline_fixed_high_alpha,low,1667,0.458552,0.005175,0.422729,0.46,300.022925,0.05,18.786119,0.105731,2.684648,2.166434,1.550181,0.332916,0.099788,-0.097588,0.020842,0.169417,0.002138,1.124768,1.0233,0.007769
baseline_fixed_high_alpha,transition,1870,0.46,0.0,0.46,0.46,397.907219,80.997655,18.774547,0.0,2.679455,2.290238,1.38332,0.143926,0.081038,-0.080895,0.004822,0.089171,0.001083,1.141958,0.978107,0.006991
baseline_fixed_high_alpha,high,1417,0.46,0.0,0.46,0.46,499.901403,0.628659,3.916391,3.329796,2.56829,2.22683,1.271071,0.147369,0.076575,-0.068467,0.034294,0.12785,0.004241,1.250776,1.028604,0.00784
baseline_fixed_high_alpha,tail_high,484,0.46,0.0,0.46,0.46,499.889259,0.661398,6.952909,0.540795,2.544897,2.21239,1.249852,0.140364,0.073503,-0.064119,0.035937,0.12061,0.005674,1.285986,1.047878,0.007884
strong_stiffness_alpha,all_scan,4994,0.421468,0.034781,0.370943,0.46,393.418794,93.062349,12.016418,5.761893,2.633745,2.217318,1.403468,0.224478,0.085122,-0.080174,0.0286,0.163916,0.003063,1.162102,1.003032,0.007583
strong_stiffness_alpha,low,1663,0.448701,0.020618,0.382864,0.46,300.023053,0.043136,16.125959,0.0,2.684549,2.174256,1.540638,0.325343,0.097533,-0.095874,0.017915,0.15587,0.001878,1.107585,1.005998,0.007729
strong_stiffness_alpha,transition,1862,0.426087,0.033024,0.371128,0.46,397.459709,80.860776,12.968802,6.247494,2.669828,2.285354,1.372977,0.141688,0.07992,-0.078169,0.01664,0.126093,0.002462,1.129827,0.965948,0.007161
strong_stiffness_alpha,high,1426,0.38491,0.006107,0.370943,0.398381,499.882127,0.653699,5.83839,2.363647,2.547134,2.20822,1.262063,0.137307,0.072264,-0.062246,0.036708,0.123367,0.005065,1.242579,1.021482,0.007975
strong_stiffness_alpha,tail_high,485,0.390695,0.004067,0.381824,0.398381,499.888251,0.653962,7.808831,0.101391,2.527653,2.198683,1.240077,0.130502,0.069074,-0.058559,0.036634,0.11829,0.005321,1.279123,1.04213,0.007961
selected_conservative_alpha,all_scan,4993,0.434997,0.022884,0.359743,0.46,393.436776,93.069895,10.900915,4.95368,2.640029,2.221243,1.408939,0.225215,0.085604,-0.08131,0.026774,0.163245,0.002756,1.170199,1.010253,0.007537
selected_conservative_alpha,low,1668,0.446991,0.023061,0.369889,0.46,300.022699,0.043042,14.2113,0.033333,2.682329,2.167818,1.545691,0.326023,0.09773,-0.096039,0.0181,0.155861,0.002048,1.119804,1.017665,0.00775
selected_conservative_alpha,transition,1870,0.44096,0.018636,0.408972,0.46,397.887852,80.978602,12.282696,4.716574,2.676106,2.28921,1.378671,0.142576,0.08031,-0.079371,0.012246,0.121041,0.001703,1.138131,0.973294,0.007057
selected_conservative_alpha,high,1418,0.414835,0.003454,0.408008,0.422523,499.89219,0.637058,5.081617,2.717938,2.56028,2.21975,1.268027,0.140911,0.073737,-0.064623,0.03551,0.124482,0.004574,1.24919,1.026721,0.00791
selected_conservative_alpha,tail_high,485,0.418415,0.002043,0.413546,0.422523,499.896423,0.637327,7.645054,0.185535,2.539997,2.208989,1.246623,0.133729,0.070332,-0.060719,0.035495,0.116512,0.004629,1.28492,1.046609,0.007866
rejected_force_deadband_limit,all_scan,4993,0.419266,0.033034,0.266718,0.451522,393.42682,93.057681,9.630571,3.971868,2.649142,2.218292,1.42355,0.265786,0.100269,-0.095608,0.030213,0.247628,0.003042,1.176595,1.024111,0.007575
rejected_force_deadband_limit,low,1662,0.431065,0.039264,0.266718,0.451218,300.048467,0.169436,12.195049,0.458641,2.699412,2.170664,1.560825,0.372649,0.111601,-0.109725,0.020374,0.23806,0.002847,1.124404,1.027892,0.007801
rejected_force_deadband_limit,transition,1865,0.425965,0.025174,0.390623,0.451522,397.683114,80.915601,10.258627,4.186402,2.683515,2.287135,1.393041,0.17235,0.093978,-0.092874,0.014359,0.13634,0.002233,1.144403,0.98744,0.007108
rejected_force_deadband_limit,high,1422,0.401121,0.003457,0.393666,0.409171,499.881366,0.653368,5.593574,2.480345,2.563541,2.21368,1.282016,0.166731,0.086263,-0.078362,0.036066,0.135537,0.004746,1.254766,1.041375,0.007934
rejected_force_deadband_limit,tail_high,483,0.404595,0.002054,0.400262,0.409171,499.885719,0.657747,7.764897,0.125829,2.542068,2.201962,1.260164,0.159577,0.082833,-0.0745,0.036207,0.13115,0.004657,1.29054,1.061421,0.007914
